"Country Name","Total","GDP","Log_GDP","Log_Total","Predicted","Residual","Outlier","OutlierType","aboveorbelow"
"Albania",92.382,13582023423.9986,23.332012948272,4.52593215447584,4.58875381813232,-0.0628216636564813,"no","no","below"
"Algeria",1175.883,174201329643.303,25.8834775341905,7.06977463371322,7.1729239601109,-0.103149326397688,"no","no","below"
"Angola",5144.861,79346278571.5219,25.0970873839094,8.5457536313823,6.37645358873369,2.16930004264861,"no","no","above"
"Antigua and Barbuda",5.909,1369612291.79505,21.037793538045,1.77647661236354,2.26512630953339,-0.488649697169848,"no","no","below"
"Argentina",1540.44,568142562825.363,27.0656382150643,7.33982336888484,8.37023798570833,-1.03041461682349,"no","no","below"
"Aruba",1.654,3225070322.88917,21.8942205925034,0.5031965966015,3.13253134236374,-2.62933474576224,"yes","below","below"
"Australia",4866.667,1524362403027.16,28.0525973421856,8.49016458752147,9.36984829648281,-0.879683708961348,"no","no","below"
"Austria",126.495,405145843845.507,26.72751294749,4.84020278169471,8.0277785114376,-3.18757572974289,"yes","below","below"
"Azerbaijan",591.199,54180407522.419,24.7155851952144,6.3821526781576,5.99006117295566,0.39209150520194,"no","no","above"
"Bahrain",105.831,33998540960.6733,24.2495834477204,4.6618434821775,5.51808605379079,-0.856242571613291,"no","no","below"
"Bangladesh",3583.532,285269493337.993,26.3767001610855,8.18410418521132,7.6724688853294,0.511635299881917,"no","no","above"
"Barbados",1.866,4161995686.68064,22.1492605285599,0.623797102425152,3.39084046858354,-2.76704336615839,"yes","below","below"
"Belgium",30572.814,497354242597.969,26.9325683709155,10.3278664616789,8.23546240624511,2.09240405543376,"no","no","above"
"Belize",57.246,2293518778.28054,21.5533530595767,4.04735777099776,2.78729445143424,1.26006331956353,"no","no","above"
"Bermuda",52847.047,6718028461.70344,22.628060564761,10.8751571146191,3.87577792934925,6.9993791852698,"yes","above","above"
"Brazil",14058.33,1829904265254.51,28.2352847673449,9.55097038163874,9.55487747228128,-0.00390709064253691,"no","no","below"
"Brunei Darussalam",28.998,13215732655.1727,23.3046738246443,3.367226862091,4.56106425215658,-1.19383739006557,"no","no","below"
"Bulgaria",1876.263,59382311267.2863,24.8072622288537,7.53703731163786,6.08291335453926,1.4541239570986,"no","no","above"
"Cabo Verde",9.829,1745467468.15938,21.2802882467873,2.28533719958449,2.5107293993737,-0.225392199789209,"no","no","below"
"Cambodia",8.24,23721258226.5713,23.8896374546342,2.10900034392138,5.1535261483969,-3.04452580447552,"yes","below","below"
"Cameroon",430.126,38971899132.8178,24.38610668831,6.06407818902049,5.65635929652547,0.40771889249502,"no","no","above"
"Canada",9693.939,1680392784898.42,28.1500486825514,9.17925612383343,9.46854880185485,-0.289292678021425,"no","no","below"
"Cayman Islands",210.491,5217706496.29372,22.3753237737642,5.34944289686398,3.61980147069965,1.72964142616434,"no","no","above"
"Chile",1304.352,275165008283.959,26.3406367847904,7.17346164471002,7.63594323619633,-0.462481591486307,"no","no","below"
"China",249116.796,15801910975837,30.3911519964857,12.4256771257134,11.7383793536567,0.687297772056784,"no","no","above"
"Colombia",111.272,330638330721.984,26.5242909585102,4.71197765430483,7.82195155267298,-3.10997389836815,"yes","below","below"
"Costa Rica",65.003,66456647135.0333,24.9198156492327,4.17443342267674,6.19690952361259,-2.02247610093585,"no","no","below"
"Croatia",2520.125,59133845410.8868,24.8030692778269,7.83206378244988,6.07866665681511,1.75339712563477,"no","no","above"
"Cuba",47.042,82070972392.6605,25.1308502268505,3.85104081969335,6.41064921548005,-2.55960839578669,"no","no","below"
"Cyprus",23543.447,25506368382.3966,23.962193998417,10.0666028017,5.2270127470679,4.83959005463208,"yes","above","above"
"Denmark",42228.022,341796501447.231,26.5574813719033,10.6508393080908,7.85556741227132,2.79527189581947,"yes","above","above"
"Djibouti",16.965,3212645612.37725,21.8903606129506,2.83115239823619,3.12862188425711,-0.297469486020918,"no","no","below"
"Ecuador",556.544,97753879511.9558,25.3057187231262,6.32174623317858,6.58775923665859,-0.266013003480011,"no","no","below"
"Equatorial Guinea",480.421,9534008416.9666,22.9781310765655,6.17466280282244,4.23033576612471,1.94432703669773,"no","no","above"
"Estonia",654.856,28890861346.9492,24.0867911656893,6.48441536413704,5.3532070439503,1.13120832018674,"no","no","above"
"Ethiopia",335.796,100431269846.861,25.3327394483707,5.8165038327202,6.61512632291049,-0.798622490190291,"no","no","below"
"Fiji",10.859,4107979915.10721,22.1361972397864,2.38499422923476,3.37760973005357,-0.992615500818811,"no","no","below"
"Finland",2266.747,256533803980.078,26.2705262822698,7.72610104304453,7.56493403299095,0.16116701005358,"no","no","above"
"France",55257.317,2577595870536.12,28.5778782473102,10.9197560450005,9.90186243403575,1.01789361096473,"no","no","above"
"French Polynesia",16.875,5381881598.17791,22.4063038894138,2.82583323675859,3.65117870019306,-0.825345463434464,"no","no","below"
"Gabon",74.52,15398037653.6153,23.4575059131568,4.31106754573339,4.71585539527102,-0.404787849537629,"no","no","below"
"Georgia",158.367,18290210785.518,23.6296318239147,5.06491512434259,4.89018767552146,0.174727448821129,"no","no","above"
"Germany",85049.498,3554676005515.55,28.8992850373414,11.3509886953962,10.2273891275325,1.12359956786377,"no","no","above"
"Ghana",572.664,66149905092.1402,24.9151892927692,6.35029915728783,6.19222386491091,0.158075292376926,"no","no","above"
"Greece",374332.241,201202601384.494,26.0275782044348,12.8328990269716,7.31887176261606,5.51402726435558,"yes","above","above"
"Grenada",1.56,1024705223.28044,20.7476708211322,0.444685821261446,1.97128469923102,-1.52659887796958,"no","no","below"
